Sc(N/M); 1-cutSeuil; sol_nopre; UB; LB; isOptNoPre; isAllFixed; isMipExecuted; sol_pre; statusCode; nbVar; nbFixed; nbX; nbXFixed; nbNode; tempsTotal; nbConCut2
Sc1-1; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.13; 300
Sc1-17; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.07; 264
Sc2-1; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.11; 552
Sc2-2; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.16; 600
Sc2-3; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.11; 528
Sc2-4; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.13; 636
Sc2-5; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.10; 888
Sc2-8; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.11; 624
Sc2-10; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.13; 540
Sc2-16; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.13; 540
