Scenario(N/M); Infeasable  ;Solved(E/H) ;MemLim(E) ;TimeLim(E) ;TMin(E/H)   ;TAvg(E/H)     ;TMax(E/H)     ;DevMin  ;DevAvg  ;DevMax
Sc1(8/2)      ;2         ;18/16         ;0          ;0      ;0.00/0.00   ;0.10/0.00     ;1.00/0.02 ;     0.00	  ;0.15	  ;0.62
Sc2(11/3)      ;9         ;11/11         ;0          ;0      ;0.00/0.00   ;0.20/0.00     ;1.00/0.02 ;     0.00	  ;0.10	  ;0.51
Sc3(15/4)      ;1         ;19/13         ;0          ;0      ;0.00/0.00   ;1.50/0.00     ;5.00/0.02 ;     0.05	  ;0.14	  ;0.45
Sc4(18/5)      ;0         ;20/8         ;0          ;0      ;2.00/0.00   ;9.55/0.00     ;26.00/0.02 ;     0.12	  ;0.09	  ;0.31
Sc5(21/5)      ;3         ;17/5         ;0          ;0      ;2.00/0.00   ;160.60/0.01     ;1801.00/0.02 ;     0.15	  ;0.06	  ;0.34
Sc6(24/6)      ;2         ;18/2         ;0          ;0      ;4.00/0.00   ;360.50/0.01     ;1801.00/0.02 ;     0.22	  ;0.02	  ;0.26
Scenario(N/M); Infeasable  ;Solved(E/H) ;MemLim(E) ;TimeLim(E) ;TMin(E/H)   ;TAvg(E/H)     ;TMax(E/H)     ;DevMin  ;DevAvg  ;DevMax
Sc1(8/2)      ;2         ;18/16         ;0          ;0      ;0.02/0.00   ;0.07/0.00     ;0.16/0.02 ;     0.00	  ;0.15	  ;0.62
Sc2(11/3)      ;9         ;11/11         ;0          ;0      ;0.06/0.00   ;0.24/0.00     ;0.67/0.02 ;     0.00	  ;0.10	  ;0.51
Sc3(15/4)      ;1         ;19/13         ;0          ;0      ;0.55/0.00   ;1.23/0.00     ;4.41/0.02 ;     0.04	  ;0.14	  ;0.45
Sc4(18/5)      ;0         ;20/8         ;0          ;0      ;2.25/0.00   ;12.34/0.01     ;55.41/0.02 ;     0.11	  ;0.09	  ;0.31
Sc5(21/5)      ;3         ;17/5         ;0          ;0      ;2.53/0.00   ;118.22/0.01     ;734.03/0.02 ;     0.15	  ;0.06	  ;0.34
Sc6(24/6)      ;2         ;18/2         ;0          ;0      ;3.35/0.00   ;182.50/0.01     ;739.63/0.02 ;     0.22	  ;0.02	  ;0.26
